Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
2011/12/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
2011/12/1,FIRE,127,19,93,4,425,23,3487,0,0,0
2012/1/1,EPIDEMIC/PANDEMIC,18,0,0,0,0,0,4951,0,0,0
2012/1/1,FIRE,1,1,1,0,7,0,27,0,0,0
2012/1/1,FLOOD,8,0,0,0,0,0,0,0,0,0
2012/1/1,RIVERBANK EROSION,2,0,0,0,0,0,0,0,0,0
2012/1/1,FIRE,41,1,0,0,44,79,371,0,0,0
2012/2/1,FIRE,69,1,0,0,802,27,4077,0,0,0
2012/2/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2012/2/1,RIVERBANK EROSION,2,0,0,0,36,0,160,0,0,0
2012/3/1,FIRE,82,2,0,0,381,132,2961,0,0,0
2012/3/1,OTHER,2,0,0,0,0,0,52,0,0,0
2012/3/1,STORM,2,0,0,0,0,0,0,0,0,0
2012/3/1,URBAN FIRE,1,0,0,0,2,0,21,0,0,0
2012/4/1,FIRE,57,5,0,0,142,24,803,0,0,0
2012/4/1,FLOOD,4,0,0,0,4442,129,18391,0,0,0
2012/4/1,STORM,41,2,0,0,408,310,2888,0,0,0
2012/4/1,URBAN FIRE,2,0,0,0,0,2,0,0,0,0
